id;personal_identifier;identifier_type;first_name;last_name;email;phone_number;first_spoken_language;second_spoken_language
1;Alaska;utilize;Larue;Little;Florencio.Johnson@hotmail.com;Tools visualize Fantastic;RUSSIAN;GERMAN
2;5th blue;Buckinghamshire bypass;Blanche;Hahn;Aryanna_OHara61@hotmail.com;Wyoming connect Metal;PORTOGUESE;FRENCH
3;invoice;Dale Florida;Eunice;Kuhn;Coralie43@hotmail.com;pixel SCSI Paradigm;PORTOGUESE;FRENCH
4;Avon Guiana Cotton;green primary Communications;Kaleigh;Gibson;Petra.Reichert@gmail.com;Road Consultant withdrawal;POLISH;RUSSIAN
5;matrix;Keyboard Ergonomic Tasty;Nathanial;Feeney;Dorthy.Witting@gmail.com;magenta compress;ITALIAN;ENGLISH
6;Concrete Small;bandwidth;Robbie;Trantow;Bruce.Beatty41@gmail.com;blue Salad;RUSSIAN;PORTOGUESE
7;Towels Wooden;Cedi Ball Tasty;Paris;Langosh;Shany45@gmail.com;harness National Pataca;GERMAN;SPANISH
8;Unbranded Cambridgeshire Wooden;syndicate;Rebekah;Marquardt;Payton.Koss@hotmail.com;transition synergies;GERMAN;ENGLISH
9;programming;Cliff Keyboard calculate;Edison;Johnson;Etha11@hotmail.com;Representative Computers;POLISH;UKRAINIAN
10;Ways neural;scale;Lolita;Yundt;Erica_Pfeffer@yahoo.com;Borders Avon;ENGLISH;PORTOGUESE
